i,true_cluster_id,true_Jr,true_Jz,true_Jphi,true_energy,true_parallax
67,14,1033.5674929958952,1177.5367552350322,-178.85429696946994,-131975.58673262713,0.209930419921875
68,14,1133.5402691928493,1060.7034411964728,-145.58845825055323,-131916.22785737267,0.21919460594654083
69,14,1048.5411281286308,1105.9022902789986,-233.3864194329435,-131043.65248118812,0.2592143714427948
70,15,6.227413513061562,694.5979963616626,-1493.68155937497,-145520.05211488978,0.3227521777153015
71,15,11.464507844908782,694.111040361036,-1492.9951238683968,-145379.94145293953,0.22875455021858215
72,15,6.350063227316221,688.336921258494,-1503.4725848694063,-145448.07528177375,0.36537986993789673
73,15,7.264142014649695,650.6604138364934,-1614.3993354300078,-143908.3162800942,0.2781389355659485
74,15,5.583888789053335,683.2238501890407,-1577.4791402349422,-144003.99640240165,0.32255589962005615
75,15,7.628305449511368,685.5087022675325,-1505.028601771996,-145439.9441033607,0.32819241285324097
76,16,404.27125339451044,395.8434456971328,744.5786258135887,-157403.1652256444,0.20417635142803192
77,16,502.5402408774451,282.7536373222508,645.1220963481301,-159419.34350382476,0.31252720952033997
78,16,376.0136355602435,439.5617219476036,690.7528056965602,-158533.29634511482,0.4028829038143158
79,16,390.8897746454006,457.90713865781265,643.3366796322902,-158821.9294001513,0.3006769120693207
80,16,400.746250101176,364.4074107766103,763.3260421633622,-157558.64335706987,0.47085878252983093
81,16,368.4754552156778,451.6175326233725,691.0094119659361,-158571.41688921515,0.3596043884754181
82,16,394.19402315470586,397.18737669706695,740.4597513408589,-157594.30855657047,0.350178599357605
83,17,127.14418677311541,16.07643195396549,-2076.6039149555836,-146401.90041126625,0.6574558019638062
84,17,64.60574258165096,15.681108125605085,-2288.2771697809912,-143616.0877024708,0.4215203523635864
85,17,112.82933121822579,15.651132113218495,-2098.8984126561913,-146363.90489575753,0.6825628876686096
86,17,142.3253313503987,15.11284081640585,-2056.3745809083193,-146425.6352600437,0.4333268105983734
87,17,112.17258093702017,16.778981627712618,-2097.716110919793,-146366.2001225911,0.5341465473175049
88,17,86.30657621369988,16.511536403279074,-2255.5827872837544,-143638.00632567808,1.7351545095443726
89,17,92.98382658664437,16.146948960625032,-2247.66033921182,-143617.9106106263,1.1103246212005615
90,17,113.02630708756479,15.374486237166925,-2099.328501028724,-146362.45503381034,0.6946524381637573
91,18,788.2945787883267,112.45663330809731,-21.68894421539607,-169629.32550151416,1.3481289148330688
92,18,699.3890869322463,169.7265922808392,-32.1979606467595,-171058.38271379712,0.24481624364852905
93,18,746.8767032596505,122.15308635797793,-89.28139548929265,-169530.30865456295,0.38588592410087585
94,18,842.4080328967598,58.184803066191776,-38.558893242563485,-169080.55199455417,0.3984612822532654
95,18,789.1704131642356,105.00341759295902,-22.395418054869893,-169677.5609434589,0.24979497492313385
96,18,870.2947983289101,41.484328155789655,-18.99841187941269,-169284.34062231693,0.3054009974002838
97,18,880.4783123297705,37.27575454788199,7.524178818348474,-169294.93510092606,0.2704027593135834
98,18,787.0723122482983,124.75876727656043,-35.90378236394645,-168844.75881339738,0.22850440442562103
99,18,848.6693811441753,25.871789569233716,-67.00131601446309,-169928.52553241595,0.4551366865634918
100,19,187.7721623515742,49.665825953982505,-1334.1337191527482,-162470.96461266474,0.44033604860305786
101,19,198.85925109037785,46.26731637987548,-1289.7758833164814,-163530.6440496894,0.4429686963558197
102,19,219.6927017833922,50.9507778651286,-1207.8046548838302,-164907.86716941904,0.625026524066925
103,19,234.22507734555924,42.99381664879551,-1196.174384400886,-164946.63353855055,0.6129859685897827
104,19,209.7178688688561,45.630210161163575,-1270.534386142908,-163668.08595935366,0.5459436178207397
105,19,192.46936788517314,74.10220359455863,-1321.0718219470534,-161475.9039323013,1.27540123462677
106,19,195.45638814350383,45.66714313949033,-1291.8401292725903,-163665.90848321727,0.2541642189025879
107,19,206.6327370310431,44.748259174249455,-1277.159609486971,-163627.2316427579,0.5265676379203796
108,19,192.09146247558465,49.04537436778394,-1296.8701865742762,-163485.0802687123,0.4914649724960327
109,19,204.11062600899407,43.03345003341989,-1288.2507369664597,-163487.3577251134,0.38543134927749634
110,20,623.9248749788499,125.43651013672249,-4.219949138627294,-179123.00933339083,0.2016454041004181
111,21,892.9066081033482,36.58119517239032,348.6924083776594,-159414.44003080548,0.4246370792388916
112,21,893.8567221992735,93.7164333327165,262.16283135333833,-159105.19879089657,0.2492549866437912
113,22,282.0152834931728,1226.526294725866,242.3950809055186,-152205.0802582034,0.32971224188804626
114,22,276.14051960517264,1239.495377152099,253.05401416518544,-151894.99043228466,0.2695583999156952
115,22,273.38869648432114,1244.03755279106,252.59507144954236,-151839.80905955905,0.30034199357032776
116,23,660.6045599861183,191.35493545682746,-234.42240589927675,-166900.02411856822,0.5642635822296143
117,23,596.8028913696094,181.9627770364718,-343.5919585901792,-167342.6318245532,0.25401148200035095
118,23,610.2698887578075,207.97225416550464,-296.13340643115953,-167032.2659185211,0.21486347913742065
119,23,628.3600526334932,185.61653142096864,-273.16173311759485,-167294.179130472,0.20755600929260254
120,24,299.6937290131201,207.68571239113803,1844.3647785347205,-140586.64032659604,0.21616587042808533
121,24,282.7088513870463,213.3860626648052,1779.601570896619,-142355.3755773821,0.20340830087661743
122,24,252.02846566618797,238.1321077404712,1793.2387387327071,-142367.12791160695,0.2035062611103058
123,24,268.1587358530915,188.90771987848586,1769.9366332844002,-143516.1183411699,0.202458918094635
124,24,278.0840578810395,192.87675330801954,1747.0716178287983,-143633.05178574324,0.3079032599925995
125,25,545.5839599753284,238.0974080834692,-622.4539844248229,-159626.139551658,0.2539570927619934
126,25,512.2889157706736,305.7852968985228,-705.293275205985,-156731.8408479357,0.23242086172103882
127,25,583.3733857061865,245.80293895023797,-637.5905267016059,-157339.5198126416,0.3743792772293091
128,25,533.0291900173671,246.734242512596,-746.9800219583559,-156390.12611472007,0.3651677072048187
129,25,533.8448025467405,227.83394746374344,-672.7403681323248,-159113.50280231677,0.22694335877895355
130,25,524.4302948356182,261.9318248175555,-676.3492859770632,-158189.3078633948,0.45502227544784546
131,26,409.12699442251306,195.9897470902636,-764.9011988634912,-163283.8920157092,0.2636118531227112
132,26,448.74060576184274,218.9922298279173,-695.4455427313225,-162571.03474916235,0.23053453862667084
133,26,465.1560535286215,174.88596499170248,-694.1693105062432,-163516.72671127162,0.22432862222194672
134,26,459.588749817318,183.7768404334682,-695.401947894423,-163502.07820502107,0.249691903591156
135,26,455.68808112132103,195.23300113413563,-688.1002670490888,-163406.791342913,0.2678926885128021
136,26,466.15737076209143,170.48336865824928,-696.9112674267961,-163601.3299902973,0.29930487275123596
137,26,389.2638517405974,214.17607470379804,-817.3872349664744,-162001.7182263388,0.20167063176631927
138,27,124.5497287142682,177.7833004952224,-1799.653332410011,-147859.90387371482,0.3162364363670349
139,27,164.6893220150471,174.7016829030302,-1678.4687248202831,-149423.01470807352,0.4886122941970825
140,27,164.3058385590268,188.71736071735307,-1659.64079092836,-149502.67574776747,0.3054901957511902
141,27,170.33079780868619,189.63047066873781,-1646.7727551485677,-149562.76155532734,0.2141350507736206
142,27,149.30294741034544,223.10913426216214,-1688.032320125547,-148360.98286036716,0.25580155849456787
143,27,170.7412048181972,172.87752714760103,-1668.4760105896535,-149526.58069756714,0.2356453537940979
144,27,164.72400264908927,184.90019462250305,-1666.8492574807094,-149404.6568486199,0.23621226847171783
145,27,128.783544442997,182.9692049427804,-1779.6196521127301,-148024.71976577988,0.20369282364845276
146,28,456.98101090470044,669.7857522356737,-426.21885109956924,-155562.05043171733,0.28969451785087585
147,28,499.19830045108563,499.84284049972445,-451.145312263251,-157591.44040239594,0.7830823063850403
148,28,461.82854634611044,619.2410182949086,-421.0224641302702,-156955.1086912106,0.2134595811367035
149,28,505.95378308087527,695.735506972913,-321.2173491841745,-155996.64639373735,0.21972133219242096
150,28,472.4040119269923,605.9595192127958,-472.7537492532119,-155560.58846808155,0.20057789981365204
151,28,446.5811940433204,639.8740578026949,-429.81206683781056,-156960.25578974752,0.20368240773677826
152,28,504.49676365705716,624.2057049547377,-389.28010131773954,-156075.87796644695,0.2161637246608734
153,28,502.5524972028885,632.2422355638686,-396.5939429446489,-155890.44642603843,0.20957620441913605
154,28,517.3341690651357,564.9844485841053,-383.84291791513175,-157149.4660189872,0.21447612345218658
155,29,452.3109577487053,489.8372612124637,-732.340674210336,-152697.1406659331,0.2624514698982239
156,29,480.5977271866998,423.4967557279923,-764.9011867239188,-152652.7950648921,0.23468342423439026
